,palavra,doc|ocorrencia
20,aniversário,"[(1, 1), (6, 2), (20, 1), (34, 1), (80, 1), (94, 1), (169, 2), (172, 5), (174, 1), (175, 2), (228, 1)]"
21,golpe,"[(1, 4), (2, 2), (3, 7), (25, 13), (83, 1), (98, 2), (99, 1), (114, 2), (120, 1), (151, 1), (165, 5), (166, 6), (169, 1), (172, 3), (200, 1), (208, 6), (216, 3), (223, 3), (228, 1), (229, 3), (230, 4), (233, 3)]"
22,estado,"[(1, 2), (2, 1), (3, 1), (7, 8), (8, 6), (18, 1), (21, 1), (23, 1), (25, 1), (26, 1), (29, 1), (32, 1), (42, 2), (47, 2), (50, 1), (60, 1), (63, 5), (65, 2), (69, 5), (77, 2), (86, 1), (87, 1), (88, 2), (89, 3), (91, 1), (94, 1), (95, 1), (98, 2), (99, 1), (105, 4), (108, 1), (110, 1), (111, 3), (112, 1), (114, 2), (119, 1), (124, 2), (129, 1), (139, 1), (141, 2), (142, 2), (145, 1), (150, 1), (151, 5), (152, 1), (154, 1), (155, 1), (160, 1), (163, 1), (164, 1), (165, 2), (166, 2), (168, 1), (169, 2), (171, 1), (173, 4), (184, 2), (197, 3), (203, 1), (205, 1), (208, 1), (210, 1), (215, 2), (217, 4), (218, 1), (223, 2), (224, 1), (225, 1), (228, 1), (232, 1), (233, 2), (237, 2), (238, 1), (241, 2), (242, 1), (244, 1), (245, 1), (248, 2), (249, 8)]"
23,instaurou,"[(1, 1)]"
24,ditadura,"[(1, 4), (3, 5), (6, 6), (7, 16), (25, 3), (63, 1), (93, 1), (95, 9), (104, 2), (114, 2), (115, 6), (120, 3), (151, 3), (158, 1), (165, 9), (166, 8), (169, 5), (172, 9), (174, 1), (204, 1), (208, 4), (216, 11), (218, 1), (223, 5), (224, 2), (229, 2), (230, 11), (233, 4), (238, 13)]"
25,militar,"[(1, 3), (2, 1), (3, 8), (4, 1), (6, 3), (7, 9), (8, 1), (17, 1), (19, 1), (25, 10), (29, 1), (63, 1), (65, 2), (83, 4), (84, 1), (95, 3), (99, 2), (104, 6), (114, 1), (115, 12), (120, 3), (126, 1), (149, 1), (150, 1), (151, 5), (165, 3), (166, 1), (169, 3), (172, 2), (173, 1), (174, 1), (181, 1), (207, 1), (208, 8), (210, 1), (216, 5), (217, 1), (218, 2), (223, 11), (224, 1), (228, 1), (229, 2), (230, 4), (233, 1), (238, 3), (244, 1), (246, 2), (247, 1), (249, 1)]"
26,brasil,"[(1, 1), (3, 4), (6, 2), (8, 3), (10, 1), (12, 2), (14, 1), (15, 5), (18, 3), (19, 11), (21, 2), (22, 6), (23, 2), (24, 2), (25, 4), (26, 10), (32, 2), (34, 1), (37, 1), (42, 5), (44, 1), (45, 2), (47, 1), (59, 4), (69, 3), (73, 4), (76, 2), (89, 1), (92, 1), (95, 1), (97, 2), (101, 3), (105, 5), (111, 3), (115, 5), (116, 1), (120, 2), (121, 2), (123, 2), (124, 2), (126, 2), (127, 3), (130, 1), (133, 4), (134, 1), (138, 3), (139, 2), (140, 4), (143, 2), (146, 3), (147, 1), (149, 4), (150, 1), (151, 47), (154, 2), (155, 3), (156, 3), (160, 5), (161, 1), (164, 3), (165, 1), (166, 15), (167, 1), (171, 1), (172, 7), (173, 7), (174, 2), (178, 1), (179, 1), (183, 1), (184, 2), (190, 2), (199, 2), (201, 6), (204, 4), (205, 1), (208, 3), (210, 6), (211, 2), (212, 3), (213, 2), (214, 2), (215, 2), (216, 4), (217, 1), (218, 2), (219, 1), (222, 2), (223, 2), (224, 5), (228, 1), (229, 5), (230, 4), (232, 1), (234, 1), (235, 1), (238, 7), (239, 1), (241, 1), (242, 1), (248, 9)]"
27,militares,"[(1, 2), (3, 1), (6, 4), (7, 1), (25, 2), (37, 1), (42, 1), (63, 5), (65, 11), (83, 1), (94, 1), (99, 1), (101, 1), (104, 7), (114, 3), (115, 5), (126, 2), (133, 1), (140, 3), (150, 1), (151, 1), (165, 2), (166, 4), (169, 4), (172, 3), (205, 1), (208, 11), (209, 2), (216, 1), (221, 1), (223, 3), (224, 7), (229, 1), (230, 1), (233, 1), (238, 1), (246, 1), (247, 5)]"
28,preferem,"[(1, 1), (63, 1), (65, 1), (125, 1), (172, 1), (174, 1), (176, 1), (240, 1)]"
29,março,"[(1, 2), (3, 2), (6, 1), (10, 1), (20, 1), (32, 1), (38, 1), (42, 1), (45, 1), (59, 2), (61, 1), (63, 1), (65, 1), (80, 1), (90, 1), (91, 1), (94, 1), (96, 2), (97, 1), (98, 1), (100, 1), (105, 1), (106, 2), (114, 1), (120, 1), (133, 1), (141, 1), (143, 1), (151, 2), (162, 1), (165, 1), (166, 5), (169, 1), (177, 1), (179, 1), (190, 1), (195, 3), (204, 1), (206, 1), (207, 1), (208, 4), (212, 1), (216, 1), (217, 1), (223, 1), (224, 1), (226, 1), (233, 1), (237, 1), (241, 1), (242, 1), (249, 1)]"
