,palavra,doc|ocorrencia
5094,pena,"[(25, 1), (73, 1), (96, 1), (117, 4), (131, 1), (148, 1), (149, 3), (151, 2), (154, 1), (158, 1), (193, 1), (206, 2), (223, 1)]"
5095,ocorra,"[(25, 2), (125, 1), (220, 1)]"
5096,argumentos,"[(25, 1), (102, 1), (188, 1), (211, 1), (220, 1)]"
5097,usam,"[(25, 1), (37, 1), (45, 1), (140, 1), (153, 2), (166, 1), (210, 1), (241, 1)]"
5098,pra,"[(25, 1), (109, 2), (138, 2), (149, 1), (166, 1), (183, 1), (208, 1), (216, 1), (217, 6), (230, 1), (238, 1), (248, 1)]"
5099,contas,"[(25, 1), (37, 5), (39, 1), (47, 4), (76, 1), (106, 1), (107, 1), (115, 1), (127, 1), (129, 1), (133, 1), (138, 2), (147, 2), (152, 1), (153, 2), (165, 1), (180, 1), (182, 1), (185, 2), (188, 1), (205, 1), (206, 1), (207, 1), (217, 1), (219, 1), (220, 2), (229, 1), (232, 2), (238, 1), (240, 1), (243, 2), (245, 1), (249, 1)]"
5100,discriminar,"[(25, 1)]"
5101,considerar,"[(25, 2), (101, 1), (103, 1), (150, 1), (155, 3), (206, 1)]"
5102,existia,"[(25, 1), (89, 1), (164, 1), (166, 1), (198, 2), (221, 1), (224, 1), (238, 1)]"
5103,cuba,"[(25, 1), (63, 3), (166, 1), (216, 1)]"
5104,vitória,"[(25, 2), (38, 1), (50, 1), (56, 3), (59, 1), (69, 2), (72, 1), (84, 2), (97, 1), (103, 1), (106, 1), (107, 1), (113, 2), (116, 2), (122, 2), (146, 1), (165, 1), (184, 1), (185, 1), (191, 1), (218, 1), (243, 1)]"
5105,radicalização,"[(25, 1), (165, 1), (211, 4)]"
5106,verbal,"[(25, 1), (130, 1), (161, 1), (162, 1), (174, 1), (205, 1), (218, 1), (239, 1)]"
5107,evitar,"[(25, 1), (27, 1), (34, 1), (40, 1), (47, 1), (57, 1), (82, 2), (90, 1), (91, 1), (101, 1), (105, 1), (110, 1), (124, 2), (131, 1), (143, 1), (144, 2), (149, 1), (157, 1), (162, 1), (165, 1), (179, 1), (185, 1), (191, 1), (195, 1), (196, 1), (208, 3), (239, 1), (242, 1), (244, 1)]"
5108,pesam,"[(25, 1), (205, 1)]"
5109,balança,"[(25, 1)]"
5110,convicção,"[(25, 1), (63, 1), (88, 1), (151, 1), (168, 1)]"
5111,preservar,"[(25, 1), (101, 1), (107, 1), (118, 1), (121, 1), (173, 1), (236, 1)]"
5112,instituições,"[(25, 1), (29, 1), (60, 2), (76, 1), (88, 1), (89, 4), (91, 1), (92, 1), (98, 1), (100, 1), (102, 1), (106, 1), (110, 2), (122, 1), (129, 2), (130, 1), (138, 1), (151, 3), (152, 3), (166, 10), (171, 3), (173, 1), (181, 1), (188, 1), (211, 1), (214, 1), (217, 1), (221, 1), (239, 1), (248, 7)]"
5113,democráticas,"[(25, 1), (129, 1), (152, 1), (173, 2), (248, 4)]"
5114,chegado,"[(25, 1), (30, 1), (55, 1), (65, 1), (125, 1), (249, 1)]"
5115,enfim,"[(25, 1), (38, 1), (221, 1)]"
5116,grave,"[(25, 1), (49, 1), (50, 1), (66, 1), (76, 1), (82, 1), (84, 1), (96, 1), (98, 1), (107, 1), (108, 1), (112, 2), (151, 1), (160, 1), (165, 1), (166, 1), (173, 1), (195, 1), (217, 1), (230, 1), (248, 1)]"
5117,resultando,"[(25, 1), (201, 1)]"
5118,incomum,"[(25, 1), (30, 1), (133, 1), (140, 1), (184, 1)]"
5119,dizem,"[(25, 1), (41, 3), (43, 1), (45, 1), (63, 2), (69, 4), (86, 1), (89, 3), (95, 1), (99, 1), (102, 1), (125, 1), (129, 2), (141, 1), (147, 1), (154, 1), (161, 2), (173, 1), (180, 3), (184, 1), (185, 1), (188, 3), (202, 1), (214, 1), (223, 1), (225, 1), (228, 1), (234, 1), (238, 1), (249, 2)]"
5120,contada,"[(25, 1), (208, 2), (238, 1)]"
5121,matiz,"[(25, 1), (208, 2)]"
5122,socialista,"[(25, 1), (95, 1), (111, 1), (112, 1), (124, 1), (125, 1), (152, 4), (158, 1), (208, 2), (223, 1), (238, 1)]"
5123,retratada,"[(25, 1)]"
5124,aléssio,"[(25, 1)]"
5125,ribeiro,"[(25, 1), (37, 2), (61, 4), (235, 1)]"
5126,souto,"[(25, 1)]"
5127,declarou,"[(25, 1), (39, 1), (40, 1), (47, 1), (77, 2), (88, 2), (113, 1), (117, 1), (136, 1), (169, 1), (195, 1), (208, 1), (227, 1), (240, 1), (246, 1), (247, 1)]"
5128,tragam,"[(25, 1)]"
5129,precisam,"[(25, 1), (32, 1), (33, 1), (37, 2), (59, 2), (86, 1), (108, 2), (133, 2), (140, 1), (151, 2), (153, 1), (166, 5), (179, 1), (184, 1), (204, 1), (210, 1), (211, 1), (221, 2), (230, 1), (239, 2), (240, 1), (248, 1)]"
5130,eliminados,"[(25, 1), (221, 1)]"
5131,passando,"[(25, 1), (34, 1), (41, 1), (89, 1), (115, 2), (125, 1), (201, 1), (230, 1), (248, 1)]"
5132,perigoso,"[(25, 1), (37, 1), (69, 1), (88, 2), (109, 1), (129, 1), (149, 1), (151, 1)]"
5133,reconheceram,"[(25, 1)]"
5134,negativos,"[(25, 1), (127, 1), (137, 1)]"
5135,análise,"[(25, 2), (29, 1), (37, 1), (71, 1), (129, 1), (133, 1), (142, 1), (155, 1), (156, 1), (166, 1), (202, 1), (206, 1), (209, 1), (217, 1), (231, 1), (240, 2), (241, 1)]"
5136,ressaltada,"[(25, 1)]"
5137,padrões,"[(25, 1), (31, 1), (163, 1), (165, 1), (178, 1), (210, 2)]"
5138,ocorre,"[(25, 1), (29, 1), (89, 1), (110, 1), (129, 1), (130, 1), (142, 1), (152, 1), (155, 2), (167, 1), (189, 1), (210, 1), (220, 1), (223, 1), (235, 1)]"
5139,chegada,"[(25, 1), (41, 1), (42, 1), (55, 2), (58, 1), (65, 1), (108, 2), (109, 1), (161, 1), (185, 1), (187, 1), (204, 1), (247, 2), (249, 1)]"
5140,extrema,"[(25, 2), (33, 1), (43, 1), (65, 1), (69, 1), (73, 2), (89, 2), (102, 1), (119, 1), (150, 1), (151, 1), (163, 3), (167, 2), (203, 1), (211, 1)]"
5141,ruim,"[(25, 1), (30, 1), (61, 1), (63, 1), (103, 1), (133, 1), (138, 2), (151, 2), (169, 1), (198, 1), (236, 2)]"
5142,transforma,"[(25, 1), (187, 1), (198, 3)]"
5143,episódio,"[(25, 2), (43, 1), (76, 1), (103, 1), (104, 1), (122, 1), (138, 1), (156, 2), (162, 1), (204, 1), (216, 1), (217, 4), (244, 1)]"
5144,pareceria,"[(25, 1)]"
5145,salvação,"[(25, 1), (166, 1)]"
5146,entendimento,"[(25, 2), (107, 1), (147, 1)]"
5147,seguintes,"[(25, 2), (47, 1), (119, 1), (140, 1), (151, 1), (194, 1), (241, 1)]"
5148,senhor,"[(25, 8), (34, 3), (63, 3), (65, 1), (69, 16), (89, 3), (164, 2), (173, 1), (182, 1), (189, 1), (216, 1), (222, 2), (238, 1), (240, 2)]"
5149,define,"[(25, 1), (60, 1), (124, 1), (125, 1), (190, 1), (199, 1), (221, 1)]"
5150,tendo,"[(25, 1), (26, 1), (69, 1), (78, 1), (140, 1), (167, 1), (172, 1), (174, 1), (180, 1), (188, 1), (208, 1), (217, 2), (218, 1), (223, 1), (227, 1), (248, 1)]"
5151,alterado,"[(25, 1), (127, 1)]"
5152,disponha,"[(25, 1)]"
5153,estudar,"[(25, 1), (29, 2), (34, 1), (46, 1), (63, 1), (111, 1), (130, 1), (193, 1), (219, 1), (249, 1)]"
5154,quartelada,"[(25, 1)]"
5155,saiu,"[(25, 2), (41, 1), (54, 1), (57, 1), (65, 1), (79, 1), (86, 1), (107, 1), (121, 1), (188, 1), (197, 1), (204, 1), (212, 1), (221, 1), (226, 2)]"
5156,instalaram,"[(25, 1), (65, 1)]"
5157,absoluta,"[(25, 1), (31, 2), (133, 1), (206, 1)]"
5158,insatisfação,"[(25, 1), (165, 1), (231, 1)]"
5159,seguiram,"[(25, 1), (128, 1), (151, 1), (169, 1), (172, 1), (238, 1), (249, 1)]"
5160,etc,"[(25, 2), (149, 3), (155, 1), (165, 1), (167, 1), (173, 1), (210, 1), (211, 1), (215, 1), (222, 1)]"
5161,altas,"[(25, 1), (40, 1), (87, 1), (96, 1), (113, 1), (132, 1), (139, 1), (181, 1), (190, 1), (244, 1)]"
5162,taxas,"[(25, 1), (34, 1), (87, 1), (96, 1), (113, 1), (127, 1), (139, 1)]"
5163,prestígio,"[(25, 1), (30, 1), (130, 1), (198, 1), (213, 1)]"
5164,assinalar,"[(25, 1)]"
5165,aspecto,"[(25, 1), (32, 1), (108, 1)]"
5166,durabilidade,"[(25, 1)]"
5167,supressão,"[(25, 1)]"
5168,liberdades,"[(25, 2), (87, 1), (153, 1), (154, 1), (160, 1), (165, 1), (166, 1), (171, 2), (172, 2), (173, 1), (202, 1)]"
5169,limpeza,"[(25, 1), (61, 1)]"
5170,parlamento,"[(25, 1), (69, 2), (82, 3), (84, 1), (86, 1), (88, 2), (90, 7), (91, 4), (93, 1), (102, 2), (106, 1), (107, 2), (125, 1), (157, 1), (166, 1), (167, 1), (168, 1), (185, 2), (209, 1), (213, 2), (220, 1), (225, 1), (235, 2)]"
5171,prisões,"[(25, 1), (165, 2), (202, 1), (245, 1), (249, 2)]"
5172,sindicais,"[(25, 1)]"
5173,natureza,"[(25, 1), (45, 1), (60, 1), (65, 1), (69, 1), (89, 3), (138, 1), (161, 1), (230, 1)]"
5174,predomina,"[(25, 1), (29, 1)]"
5175,comandantes,"[(25, 1), (63, 1), (208, 1)]"
5176,destacam,"[(25, 1), (29, 1), (60, 1), (87, 1), (150, 1), (177, 1), (188, 2), (204, 1)]"
5177,intervenção,"[(25, 1), (26, 2), (65, 1), (83, 1), (97, 2), (115, 1), (150, 1), (196, 1), (197, 1), (221, 1), (233, 1)]"
5178,citam,"[(25, 1), (204, 1)]"
5179,marcha,"[(25, 3), (59, 1), (80, 1), (149, 1), (169, 1), (172, 1), (238, 1), (246, 1)]"
5180,representativa,"[(25, 1), (60, 1), (173, 1), (210, 1), (248, 2)]"
5181,lastro,"[(25, 3), (103, 1), (166, 1)]"
5182,urbano,"[(25, 1), (40, 1), (60, 1), (108, 1), (227, 1)]"
5183,representativo,"[(25, 1), (173, 1)]"
5184,expulsões,"[(25, 1)]"
5185,analisando,"[(25, 1), (29, 1)]"
5186,paralelos,"[(25, 1), (163, 1)]"
5187,republicana,"[(25, 1)]"
5188,composição,"[(25, 1), (110, 1), (190, 1), (195, 1), (225, 1)]"
5189,absolutamente,"[(25, 1), (63, 1), (97, 1), (119, 1), (129, 1), (134, 1), (143, 1), (204, 1), (206, 1), (221, 2)]"
5190,inusitada,"[(25, 1)]"
5191,produz,"[(25, 2), (27, 1), (30, 1), (31, 1), (45, 1), (63, 1), (102, 1), (112, 1), (142, 1), (167, 1), (169, 1)]"
5192,espanto,"[(25, 3), (166, 1)]"
5193,terreno,"[(25, 2), (69, 1), (101, 1), (106, 1), (108, 1), (165, 1), (182, 1), (186, 1), (214, 1)]"
5194,costumes,"[(25, 3), (89, 1), (161, 1)]"
5195,retrógradas,"[(25, 1)]"
5196,decênios,"[(25, 1)]"
5197,aliás,"[(25, 2), (92, 1), (156, 1), (189, 2), (225, 1), (233, 1)]"
5198,tosca,"[(25, 1)]"
5199,retrógrada,"[(25, 1)]"
5200,avançou,"[(25, 1), (103, 1), (127, 1), (151, 1)]"
5201,ponderável,"[(25, 1)]"
5202,firmou,"[(25, 1), (91, 1)]"
5203,superada,"[(25, 1), (87, 1)]"
5204,bastante,"[(25, 2), (28, 1), (37, 1), (76, 1), (108, 1), (110, 2), (127, 1), (133, 1), (152, 1), (165, 2), (182, 1), (186, 1), (195, 1), (201, 1), (217, 1), (221, 2)]"
5205,raízes,"[(25, 1), (26, 1), (151, 1), (210, 1)]"
5206,internacionais,"[(25, 1), (26, 1), (29, 1), (32, 1), (33, 1), (47, 1), (60, 2), (64, 1), (70, 1), (86, 1), (88, 1), (97, 1), (101, 1), (105, 1), (115, 1), (137, 1), (138, 1), (142, 3), (150, 3), (167, 1), (173, 1), (188, 1), (190, 1), (223, 1)]"
5207,horror,"[(25, 1), (151, 3)]"
5208,globalizada,"[(25, 1)]"
5209,elemento,"[(25, 4), (41, 3), (130, 1), (142, 1), (173, 1), (211, 1)]"
5210,característico,"[(25, 1), (168, 1), (223, 1)]"
5211,xenofobia,"[(25, 3), (92, 1)]"
5212,fator,"[(25, 2), (32, 1), (60, 1), (84, 1), (108, 1), (110, 1), (140, 1), (143, 1), (162, 1), (178, 1), (206, 1), (214, 1)]"
5213,potencializa,"[(25, 1)]"
5214,totalitários,"[(25, 1), (69, 1), (156, 1)]"
5215,autoritários,"[(25, 1), (165, 2), (172, 1), (211, 1)]"
5216,mobilizador,"[(25, 1)]"
5217,dividida,"[(25, 1)]"
5218,neles,"[(25, 1), (69, 2), (247, 1)]"
5219,impotência,"[(25, 1), (76, 1), (102, 1), (151, 1), (182, 1), (189, 1)]"
5220,criminalidade,"[(25, 1), (87, 1), (113, 1), (236, 1), (241, 1)]"
5221,caldos,"[(25, 1), (149, 1)]"
5222,aglutina,"[(25, 1)]"
5223,contrária,"[(25, 1), (28, 1), (206, 1), (230, 1)]"
5224,cisma,"[(25, 1)]"
5225,macho,"[(25, 1)]"
5226,quebrada,"[(25, 2)]"
5227,toa,"[(25, 1), (173, 1), (248, 1)]"
5228,frente,"[(25, 1), (26, 2), (28, 2), (29, 1), (36, 1), (54, 1), (55, 1), (56, 2), (59, 1), (65, 1), (68, 1), (78, 1), (89, 1), (93, 1), (94, 2), (96, 1), (99, 1), (103, 1), (104, 1), (107, 4), (108, 1), (111, 1), (122, 2), (123, 1), (125, 2), (135, 1), (140, 2), (151, 1), (157, 1), (166, 1), (169, 1), (173, 1), (175, 1), (181, 1), (185, 1), (189, 1), (190, 1), (195, 1), (196, 1), (199, 1), (203, 1), (206, 1), (210, 1), (220, 1), (221, 1), (230, 6), (234, 1), (235, 1), (238, 3)]"
5229,faixa,"[(25, 1), (94, 1), (166, 1), (183, 2), (203, 1), (204, 1), (246, 3)]"
5230,alcançar,"[(25, 1), (42, 1), (46, 1), (64, 1), (69, 1), (81, 1), (82, 1), (83, 2), (151, 1), (152, 1), (153, 1), (166, 1), (185, 1), (194, 1), (198, 1), (220, 1), (224, 1), (244, 1)]"
5231,votação,"[(25, 1), (63, 1), (81, 1), (82, 4), (90, 3), (91, 1), (95, 1), (107, 1), (138, 1), (151, 1), (209, 1), (213, 2), (225, 1), (227, 1), (231, 1), (233, 1)]"
5232,equilibrada,"[(25, 1)]"
5233,fizesse,"[(25, 1), (63, 2), (160, 1), (166, 1)]"
5234,observação,"[(25, 1), (31, 1)]"
5235,preliminar,"[(25, 1), (124, 1)]"
5236,significativas,"[(25, 1)]"
5237,sozinho,"[(25, 1), (46, 1), (53, 1), (63, 1), (69, 1), (104, 1), (108, 1), (153, 1), (173, 1), (195, 1), (198, 1), (207, 1), (217, 3), (244, 2)]"
5238,peso,"[(25, 2), (45, 1), (76, 1), (96, 3), (118, 1), (123, 1), (130, 1), (137, 1), (143, 1), (179, 1), (180, 1), (184, 1), (205, 1), (217, 1)]"
5239,loucos,"[(25, 2), (29, 1), (69, 1), (78, 1)]"
5240,enfrentam,"[(25, 1), (35, 1), (44, 1), (48, 1), (62, 1), (72, 1), (83, 3), (85, 1), (130, 1), (197, 1)]"
5241,interesse,"[(25, 1), (32, 1), (43, 1), (58, 1), (69, 1), (88, 1), (102, 1), (151, 1), (153, 1), (155, 1), (162, 1), (173, 2), (181, 1), (186, 1), (193, 1), (223, 1)]"
5242,interromper,"[(25, 1), (77, 1), (151, 1), (216, 1)]"
5243,formal,"[(25, 1), (150, 1), (152, 1), (162, 1), (236, 1)]"
5244,impedido,"[(25, 1), (210, 1), (227, 2)]"
5245,arreganhos,"[(25, 1)]"
5246,olavo,"[(25, 1), (166, 1), (205, 1), (221, 1), (223, 2)]"
5247,ataques,"[(25, 1), (68, 1), (77, 1), (78, 1), (98, 1), (101, 1), (106, 1), (129, 1), (151, 1), (173, 1), (175, 3), (179, 1), (180, 1), (184, 2), (205, 2), (214, 1), (225, 3), (240, 1), (246, 2), (247, 1)]"
5248,disposto,"[(25, 2), (34, 1), (56, 1), (58, 1), (75, 1), (99, 1), (112, 1), (150, 1), (193, 1), (197, 1), (205, 1), (240, 1)]"
5249,desordem,"[(25, 1)]"
5250,caos,"[(25, 1), (69, 1), (70, 1), (90, 1), (91, 1), (98, 1), (150, 1), (185, 1), (188, 1)]"
5251,creio,"[(25, 1), (149, 1), (189, 1)]"
5252,comprometendo,"[(25, 1), (242, 1)]"
5253,impedirão,"[(25, 1), (174, 1)]"
5254,exceção,"[(25, 1), (89, 1), (91, 1), (109, 1), (124, 1), (127, 1), (151, 4), (166, 3), (194, 1), (242, 1)]"
5255,piores,"[(25, 1), (78, 1), (160, 1), (172, 1)]"
5256,agudizaram,"[(25, 1)]"
5257,acha,"[(25, 1), (36, 1), (60, 1), (69, 3), (93, 1), (133, 1), (175, 1), (211, 6), (230, 1), (248, 2)]"
5258,enrolaram,"[(25, 1)]"
5259,frieza,"[(25, 1)]"
5260,distanciado,"[(25, 1)]"
5261,inusitado,"[(25, 1), (84, 1)]"
5262,vivendo,"[(25, 1), (158, 1), (161, 1), (166, 1), (215, 1), (218, 1), (240, 1), (248, 1)]"
5263,inteiramente,"[(25, 1), (30, 1), (166, 1)]"
5264,alucinantes,"[(25, 1)]"
5265,perspectiva,"[(25, 1), (36, 1), (45, 1), (60, 1), (128, 1), (133, 1), (155, 2), (170, 1), (232, 1)]"
5266,diria,"[(25, 1), (127, 1), (166, 1), (193, 1), (195, 1), (225, 1), (244, 1)]"
5267,otimista,"[(25, 1), (127, 1), (129, 1), (133, 1), (138, 2)]"
5268,falei,"[(25, 1), (69, 1), (224, 1)]"
5269,cotidiana,"[(25, 1), (93, 1), (102, 1), (152, 1), (165, 1)]"
5270,sentidos,"[(25, 1), (197, 1)]"
5271,esperavam,"[(26, 1), (30, 1), (248, 1), (249, 1)]"
5272,detalhe,"[(26, 1), (189, 1), (190, 1), (217, 1), (230, 1)]"
5273,prometidas,"[(26, 1), (110, 1)]"
5274,decepção,"[(26, 1), (82, 1)]"
5275,inevitável,"[(26, 1), (29, 1), (108, 1), (152, 1), (157, 1), (173, 1), (243, 1)]"
5276,estimulou,"[(26, 1)]"
5277,apostarem,"[(26, 1)]"
5278,comprometeu,"[(26, 3), (63, 1), (90, 1), (131, 1), (197, 2), (219, 2)]"
5279,curtos,"[(26, 1), (87, 1), (123, 1)]"
5280,sessão,"[(26, 1), (82, 1), (91, 1), (103, 1), (138, 1), (209, 1), (240, 2)]"
5281,inaugural,"[(26, 1), (37, 1)]"
5282,minutos,"[(26, 1), (31, 1), (38, 2), (45, 1), (47, 1), (51, 3), (53, 5), (56, 4), (67, 2), (68, 1), (71, 2), (74, 2), (78, 1), (87, 2), (116, 4), (178, 1), (182, 2), (186, 1), (222, 1), (229, 1)]"
5283,fundador,"[(26, 1), (29, 1), (117, 2), (130, 1), (137, 1), (145, 1)]"
5284,klaus,"[(26, 1)]"
5285,schwab,"[(26, 1)]"
5286,posteriores,"[(26, 1), (96, 1)]"
5287,repetiu,"[(26, 1), (182, 1)]"
5288,eleitorais,"[(26, 1), (169, 1), (204, 1), (207, 3), (210, 1), (211, 2)]"
5289,populistas,"[(26, 1), (69, 1), (102, 3), (165, 1), (211, 2)]"
5290,acredito,"[(26, 1), (36, 1), (63, 1), (69, 1), (84, 1), (151, 2), (182, 1), (189, 1), (211, 2), (236, 1), (248, 1)]"
5291,trarão,"[(26, 1)]"
5292,infindáveis,"[(26, 1)]"
5293,progressos,"[(26, 1)]"
5294,concluir,"[(26, 1), (28, 1), (129, 1), (241, 1), (243, 1)]"
5295,bolivariana,"[(26, 1), (65, 3), (99, 3), (150, 4)]"
5296,prevalecer,"[(26, 1)]"
5297,auditório,"[(26, 1)]"
5298,convenções,"[(26, 1), (46, 1), (210, 1)]"
5299,inflamada,"[(26, 1)]"
5300,necessitamos,"[(26, 1), (34, 1), (78, 1), (157, 1)]"
5301,mutuamente,"[(26, 1), (107, 1), (129, 1), (216, 1)]"
5302,melhoria,"[(26, 1)]"
5303,ambiente,"[(26, 4), (29, 1), (56, 1), (61, 1), (63, 1), (78, 1), (86, 1), (102, 1), (129, 1), (137, 1), (138, 2), (151, 1), (155, 1), (165, 2), (171, 1), (179, 1), (208, 1), (211, 6), (214, 1), (217, 1), (239, 1), (240, 1), (242, 1), (248, 1)]"
5304,pedi,"[(26, 1), (63, 1), (249, 1)]"
5305,faça,"[(26, 1), (63, 1), (134, 1), (157, 1), (218, 1), (248, 1)]"
5306,situar,"[(26, 1), (149, 2)]"
5307,comparado,"[(26, 1), (99, 1), (111, 1), (132, 1), (143, 1), (168, 1)]"
5308,ª,"[(26, 1), (44, 1), (68, 1), (73, 1), (202, 1), (206, 1), (217, 1), (223, 2), (241, 1)]"
5309,colocação,"[(26, 1), (75, 1), (99, 1)]"
5310,ocupava,"[(26, 1), (151, 1), (203, 1), (249, 1)]"
5311,contrariando,"[(26, 1), (101, 1)]"
5312,protecionistas,"[(26, 1)]"
5313,tradicionalmente,"[(26, 1), (109, 1), (221, 1), (223, 1)]"
5314,integração,"[(26, 1), (28, 1), (34, 1), (69, 1), (86, 2), (108, 1), (144, 1), (167, 1)]"
5315,jurídica,"[(26, 1), (32, 1), (87, 1), (91, 3), (202, 1), (207, 1), (209, 1)]"
5316,posicionamento,"[(26, 1), (212, 1)]"
5317,enfático,"[(26, 1), (165, 1)]"
5318,inédito,"[(26, 1), (36, 1), (41, 1), (100, 1), (211, 1), (218, 1)]"
5319,reduzir,"[(26, 1), (34, 2), (36, 1), (65, 1), (108, 2), (136, 1), (137, 2), (142, 1), (152, 1), (157, 1), (161, 1), (225, 1), (238, 1), (241, 1)]"
5320,tributária,"[(26, 1)]"
5321,medir,"[(26, 1), (167, 1), (203, 1)]"
5322,aponta,"[(26, 1), (29, 1), (90, 1), (123, 1), (125, 1), (132, 1), (138, 1), (143, 1), (210, 1), (214, 1)]"
5323,economics,"[(26, 1), (34, 1)]"
5324,suavizou,"[(26, 1)]"
5325,utilização,"[(26, 1)]"
5326,protegidas,"[(26, 1), (33, 1), (137, 1), (249, 1)]"
5327,pecuária,"[(26, 1), (217, 1), (220, 1)]"
5328,modelo,"[(26, 1), (29, 2), (31, 1), (66, 1), (76, 1), (78, 1), (95, 2), (101, 1), (110, 1), (124, 1), (125, 7), (134, 2), (143, 5), (153, 1), (168, 1), (189, 6), (195, 2), (198, 1), (224, 1), (248, 3)]"
5329,paraíso,"[(26, 1), (65, 1), (73, 1), (161, 1)]"
5330,suficientemente,"[(26, 1), (34, 1), (153, 2), (179, 1)]"
5331,indicou,"[(26, 1), (37, 1), (43, 1), (90, 1), (205, 1)]"
5332,ruralistas,"[(26, 1), (151, 1), (220, 1)]"
5333,administrativa,"[(26, 1), (47, 1), (88, 1), (115, 1), (171, 1), (207, 1)]"
5334,manipular,"[(26, 1), (63, 2), (221, 1)]"
5335,mapas,"[(26, 1)]"
5336,tietê,"[(26, 1)]"
5337,combater,"[(26, 1), (31, 1), (65, 1), (89, 1), (92, 1), (144, 1), (163, 1), (211, 1), (221, 1), (241, 1), (245, 2), (248, 1)]"
5338,lavagem,"[(26, 1), (106, 1), (144, 1), (160, 1), (171, 1), (202, 1), (204, 1)]"
5339,venham,"[(26, 1), (158, 1)]"
5340,apelou,"[(26, 1), (229, 1)]"
5341,juiz,"[(26, 1), (103, 1), (140, 1), (204, 2), (206, 5), (223, 1), (236, 1)]"
5342,inácio,"[(26, 1), (73, 1), (226, 1), (234, 1), (236, 1)]"
5343,participa,"[(26, 1), (86, 1), (137, 1), (139, 2), (183, 1), (216, 1), (225, 1), (238, 1)]"
5344,viajou,"[(26, 1), (93, 1), (158, 1)]"
5345,prometeu,"[(26, 1), (76, 1), (86, 2), (112, 1), (113, 1), (115, 1), (229, 1), (249, 1)]"
5346,proteger,"[(26, 1), (56, 1), (65, 1), (66, 1), (76, 1), (111, 2), (117, 1), (151, 2), (153, 2), (166, 2), (173, 1), (185, 2), (188, 1), (225, 1)]"
5347,agradeço,"[(26, 1)]"
5348,oferecido,"[(26, 1), (39, 1), (141, 1)]"
5349,gentileza,"[(26, 1), (184, 1)]"
5350,proferir,"[(26, 1)]"
5351,senhores,"[(26, 1), (169, 2), (240, 1)]"
5352,consideração,"[(26, 1), (198, 1), (212, 1)]"
5353,descontraída,"[(26, 1)]"
5354,péssimo,"[(26, 1), (236, 2)]"
5355,bancário,"[(26, 1), (34, 2), (86, 1)]"
5356,decepcionante,"[(26, 1), (62, 1)]"
5357,concretos,"[(26, 1), (101, 1), (171, 1)]"
5358,pensa,"[(26, 1), (45, 1), (63, 1), (69, 1), (102, 1), (122, 1)]"
5359,metas,"[(26, 1), (115, 2), (140, 1), (222, 1), (237, 1)]"
5360,alentadoras,"[(26, 1)]"
5361,avaliava,"[(26, 1)]"
5362,seguradora,"[(26, 1)]"
5363,ihs,"[(26, 1)]"
5364,nariman,"[(26, 1)]"
5365,behravesh,"[(26, 1)]"
5366,yale,"[(26, 1), (34, 1), (110, 1), (130, 1)]"
5367,resumiu,"[(26, 1), (162, 1)]"
5368,merece,"[(26, 1), (31, 1), (59, 1), (76, 1), (148, 1), (154, 1), (158, 1), (171, 1)]"
5369,aberto,"[(26, 1), (45, 1), (64, 1), (66, 2), (76, 1), (105, 1), (110, 1), (114, 1), (133, 2), (162, 1), (190, 1), (195, 1)]"
5370,baixa,"[(26, 1), (30, 1), (32, 1), (36, 1), (41, 1), (79, 1), (84, 1), (115, 1), (121, 1), (123, 1), (140, 1), (144, 1), (148, 1), (165, 1), (189, 1), (217, 2)]"
5371,aprofundou,"[(26, 1)]"
5372,tendência,"[(26, 1), (125, 1), (138, 1), (152, 1), (165, 1), (211, 1), (236, 1), (239, 1), (248, 4)]"
5373,retrocedeu,"[(26, 1), (151, 1)]"
5374,dólar,"[(26, 1), (34, 2), (69, 1), (96, 1), (135, 2), (179, 1), (209, 1), (215, 2), (218, 2), (240, 1)]"
5375,revés,"[(26, 1), (64, 1), (76, 1), (238, 1)]"
5376,arábia,"[(26, 2), (142, 2)]"
5377,saudita,"[(26, 2), (142, 7)]"
5378,suspendeu,"[(26, 1)]"
5379,frango,"[(26, 1), (196, 1)]"
5380,frigoríficos,"[(26, 1)]"
5381,habilitados,"[(26, 1)]"
5382,exportar,"[(26, 1), (108, 1)]"
5383,exigências,"[(26, 1), (47, 1), (76, 1)]"
5384,reabilitá,"[(26, 1)]"
5385,interpretada,"[(26, 1), (161, 1), (198, 1)]"
5386,recado,"[(26, 1), (73, 1), (218, 1), (225, 1), (238, 1)]"
5387,insistir,"[(26, 1), (96, 1), (124, 1)]"
5388,agências,"[(26, 1), (28, 2), (97, 1), (241, 1), (249, 1)]"
5389,detido,"[(27, 2), (73, 2), (112, 1), (202, 1), (206, 1), (214, 2), (217, 2), (230, 3), (249, 1)]"
5390,japão,"[(27, 1), (69, 2), (84, 5), (108, 13), (119, 1), (123, 1), (131, 1)]"
5391,destituído,"[(27, 1)]"
5392,finanças,"[(27, 1), (36, 1), (88, 1), (129, 1), (135, 1), (138, 1), (213, 1), (225, 2), (249, 1)]"
5393,bruno,"[(27, 1), (55, 1), (89, 1), (120, 1), (207, 1)]"
5394,maire,"[(27, 2)]"
5395,demissão,"[(27, 1), (49, 1), (66, 2), (71, 1), (79, 2), (82, 1), (215, 2), (222, 3), (233, 1)]"
5396,ghosn,"[(27, 5), (131, 3)]"
5397,comunicada,"[(27, 1)]"
